type,Pole
Q,0,0,0,0
R,0
Eigenvalue,0.994587+0j,0.916229+0j,0.945962+0.00594968j,0.945962+-0.00594968j
Gain,30.9996,4.90698,0.0930444,0.371156
time,elapsed_time,theta_p,theta_p_dot,theta_w,theta_w_dot,theta_p_kf,theta_p_dot_kf,theta_w_kf,theta_w_dot_kf,log_motor_value,log_motor_direction,log_pwm_duty
1740906944.736,0.38160,-0.00587,1.37754,-1.09900,-1.57000,0.10349,0.35563,-1.16949,-0.29614,3.30000,1,66.00000
1740906944.746,0.39190,0.01691,0.63072,-1.09900,0.00000,0.11414,0.25717,-1.15679,0.98344,3.30000,1,66.00000
1740906944.758,0.40340,0.02900,0.53027,-1.06760,3.14000,0.12349,0.17056,-1.13046,2.20143,3.30000,1,66.00000
1740906944.767,0.41281,0.03325,-0.33687,-1.05190,1.57000,0.11609,-0.00015,-1.09498,3.36280,3.30000,1,66.00000
1740906944.777,0.42313,0.02514,0.13431,-1.02050,3.14000,0.11957,-0.08298,-1.05133,4.39894,3.30000,1,66.00000
1740906944.789,0.43471,0.02015,0.14024,-0.97340,4.71000,0.12368,-0.14596,-0.99867,5.36266,3.30000,1,66.00000
1740906944.798,0.44432,0.01571,0.43764,-0.92630,4.71000,0.13384,-0.15446,-0.93949,6.22506,3.30000,1,66.00000
1740906944.809,0.45477,0.01745,-0.29126,-0.86350,6.28000,0.12975,-0.24277,-0.87159,7.07988,3.30000,1,66.00000
1740906944.820,0.46583,0.01129,0.02799,-0.81640,4.71001,0.13239,-0.27286,-0.80063,7.81589,3.30000,1,66.00000
1740906944.830,0.47632,0.01388,0.01023,-0.73790,7.85000,0.13483,-0.29595,-0.72216,8.51625,3.30000,1,66.00000
1740906944.842,0.48749,0.01465,0.26623,-0.67510,6.28000,0.14209,-0.27634,-0.64095,9.12257,3.30000,1,66.00000
1740906944.851,0.49703,0.01930,0.03831,-0.64370,3.14000,0.14458,-0.27453,-0.56239,9.62802,3.30000,1,66.00000
1740906944.862,0.50754,0.02633,-0.07732,-0.58090,6.28000,0.14478,-0.28154,-0.48155,10.09398,3.30000,1,66.00000
1740906944.873,0.51877,0.02141,0.14010,-0.53380,4.71000,0.14887,-0.25437,-0.40253,10.46429,3.30000,1,66.00000
1740906944.882,0.52831,0.02051,0.35784,-0.51810,1.57000,0.15644,-0.19379,-0.33072,10.70557,3.30000,1,66.00000
1740906944.893,0.53878,0.01886,0.27022,-0.48670,3.14000,0.16160,-0.14427,-0.26267,10.89193,3.30000,1,66.00000
1740906944.904,0.55019,0.03133,0.42015,-0.43960,4.71000,0.16902,-0.07774,-0.19621,11.03566,3.30000,1,66.00000
1740906944.914,0.55960,0.03188,0.24139,-0.40820,3.14000,0.17242,-0.03385,-0.13374,11.13512,3.30000,1,66.00000
1740906944.924,0.56997,0.02210,0.54823,-0.39250,1.57000,0.18077,0.04727,-0.07809,11.14598,3.30000,1,66.00000
1740906944.935,0.58115,0.02268,0.70326,-0.34540,4.71000,0.19112,0.13962,-0.02336,11.14839,3.30000,1,66.00000
1740906944.945,0.59071,0.01976,0.67864,-0.28260,6.28000,0.20011,0.22004,0.03296,11.17122,3.30000,1,66.00000
1740906944.955,0.60116,-0.00973,0.49379,-0.26690,1.57000,0.20468,0.27531,0.08310,11.14308,3.30000,1,66.00000
1740906944.966,0.61234,-0.01455,0.46661,-0.20410,6.28000,0.20825,0.31917,0.13563,11.15173,3.30000,1,66.00000
1740906944.976,0.62184,-0.01961,0.93298,-0.15700,4.71000,0.21974,0.41542,0.18662,11.11944,3.30000,1,66.00000
1740906944.986,0.63214,-0.02740,0.98670,-0.15700,0.00000,0.23110,0.51537,0.22911,11.01193,3.30000,1,66.00000
1740906944.998,0.64339,-0.02703,0.83036,-0.06280,9.42000,0.23884,0.58033,0.28006,11.02038,3.30000,1,66.00000
1740906945.009,0.65484,0.00914,0.55678,-0.04710,1.57000,0.24132,0.61509,0.32526,10.98111,3.30000,1,66.00000
1740906945.019,0.66441,0.04498,0.55124,-0.01570,3.14000,0.24365,0.64784,0.36831,10.93435,3.30000,1,66.00000
