type,Pole
Q,0,0,0,0
R,0
Eigenvalue,0.994587+0j,0.916229+0j,0.945962+0.00594968j,0.945962+-0.00594968j
Gain,30.9996,4.90698,0.0930444,0.371156
time,elapsed_time,theta_p,theta_p_dot,theta_w,theta_w_dot,theta_p_kf,theta_p_dot_kf,theta_w_kf,theta_w_dot_kf,log_motor_value,log_motor_direction,log_pwm_duty
1740906946.315,1.96095,-0.04221,0.29527,2.02530,-3.14002,-0.04053,0.42329,1.74600,-8.88021,-2.48284,2,49.00000
1740906946.326,1.97156,-0.03924,0.31190,1.97820,-4.70999,-0.03830,0.42597,1.70468,-8.87635,-2.40281,2,48.00000
1740906946.338,1.98335,-0.03838,0.34226,1.93110,-4.71001,-0.03554,0.43026,1.66257,-8.86061,-2.29447,2,45.00000
1740906946.347,1.99325,-0.03785,0.35366,1.88400,-4.70999,-0.03261,0.43292,1.61994,-8.82395,-2.18083,2,43.00000
1740906946.359,2.00501,-0.03718,0.28614,1.85260,-3.14000,-0.03082,0.42190,1.57976,-8.72734,-2.14745,2,42.00000
1740906946.369,2.01435,-0.03742,0.35684,1.82120,-3.14000,-0.02766,0.41562,1.54174,-8.59093,-2.03302,2,40.00000
1740906946.379,2.02506,-0.03531,0.36166,1.77410,-4.71001,-0.02439,0.41260,1.50330,-8.46966,-1.90513,2,38.00000
1740906946.390,2.03630,-0.03562,0.35093,1.74270,-3.14000,-0.02126,0.40405,1.46728,-8.30180,-1.79103,2,35.00000
1740906946.400,2.04567,-0.03410,0.37079,1.71130,-3.14001,-0.01767,0.39476,1.43347,-8.09598,-1.65200,2,33.00000
1740906946.410,2.05612,-0.03251,0.32141,1.67990,-3.14000,-0.01484,0.37802,1.40192,-7.85831,-1.56137,2,31.00000
1740906946.422,2.06758,-0.03246,0.33395,1.64850,-3.14000,-0.01164,0.36088,1.37249,-7.58926,-1.44913,2,28.00000
1740906946.431,2.07712,-0.03072,0.41649,1.61710,-3.14000,-0.00686,0.35461,1.34494,-7.31622,-1.23309,2,24.00000
1740906946.442,2.08799,-0.02914,0.38002,1.58570,-3.14001,-0.00269,0.34359,1.31924,-7.02559,-1.05229,2,21.00000
1740906946.453,2.09908,-0.02784,0.36321,1.57000,-1.57000,0.00136,0.32392,1.29794,-6.66004,-0.88967,2,17.00000
1740906946.463,2.10872,-0.02694,0.41350,1.53860,-3.14001,0.00645,0.30950,1.27805,-6.27762,-0.66229,2,13.00000
1740906946.475,2.12087,-0.02663,0.43487,1.52290,-1.56999,0.01204,0.29541,1.26228,-5.85669,-0.40339,2,8.00000
1740906946.485,2.13100,-0.02489,0.46718,1.49150,-3.14000,0.01833,0.28300,1.24765,-5.41151,0.23440,1,4.00000
1740906946.494,2.13970,-0.02447,0.46767,1.47580,-1.57001,0.02476,0.26488,1.23704,-4.90241,0.53276,1,10.00000
1740906946.505,2.15050,-0.02278,0.46927,1.46010,-1.57000,0.03165,0.22487,1.23071,-4.20562,0.80829,1,16.00000
1740906946.516,2.16203,-0.02146,0.52364,1.44440,-1.57000,0.03983,0.19042,1.22893,-3.46937,1.16588,1,23.00000
1740906946.526,2.17178,-0.02032,0.53359,1.42870,-1.57000,0.04843,0.15788,1.23137,-2.70751,1.55564,1,31.00000
1740906946.537,2.18261,-0.01859,0.53765,1.42870,0.00000,0.05739,0.12125,1.24032,-1.87228,1.96455,1,39.00000
1740906946.548,2.19374,-0.01656,0.53620,1.41300,-1.57001,0.06663,0.08244,1.25265,-0.99452,2.38753,1,47.00000
1740906946.558,2.20339,-0.01468,0.54941,1.41300,0.00000,0.07645,0.04084,1.27099,-0.04651,2.84114,1,56.00000
1740906946.570,2.21555,-0.01274,0.60941,1.39730,-1.56999,0.08763,0.00520,1.29217,0.93171,3.30000,1,66.00000
1740906946.579,2.22500,-0.01089,0.62474,1.39730,0.00000,0.09938,-0.03333,1.31889,1.97789,3.30000,1,66.00000
1740906946.590,2.23550,-0.00966,0.72214,1.39730,0.00000,0.11313,-0.06331,1.35057,3.07156,3.30000,1,66.00000
1740906946.601,2.24640,-0.00724,0.78532,1.39730,0.00000,0.12786,-0.06580,1.38621,4.03760,3.30000,1,66.00000
1740906946.611,2.25671,-0.00323,0.98879,1.41300,1.56999,0.14586,-0.02975,1.42660,4.89698,3.30000,1,66.00000
1740906946.623,2.26835,0.00901,-0.31126,1.44440,3.14001,0.14054,-0.13642,1.47473,5.77303,3.30000,1,66.00000
1740906946.632,2.27794,0.00625,-0.88361,1.47580,3.14000,0.12591,-0.29076,1.52812,6.59675,3.30000,1,66.00000
1740906946.643,2.28850,-0.00480,-0.35305,1.53860,6.27999,0.12177,-0.36483,1.58905,7.33947,3.30000,1,66.00000
1740906946.654,2.29978,-0.00316,0.46547,1.58570,4.71001,0.13248,-0.32737,1.65246,7.94776,3.30000,1,66.00000
1740906946.664,2.30958,0.01045,0.18662,1.61710,3.14001,0.13786,-0.31448,1.71624,8.48611,3.30000,1,66.00000
1740906946.674,2.31989,0.01558,-0.78461,1.67990,6.27999,0.12602,-0.41144,1.78605,9.05821,3.30000,1,66.00000
1740906946.686,2.33144,0.01551,-0.22671,1.72700,4.71001,0.12474,-0.42815,1.85595,9.51444,3.30000,1,66.00000
1740906946.695,2.34106,0.01231,0.26818,1.78980,6.28000,0.13217,-0.38142,1.92795,9.89974,3.30000,1,66.00000
1740906946.706,2.35136,0.01663,0.10423,1.88400,9.41999,0.13629,-0.35627,2.00714,10.30701,3.30000,1,66.00000
1740906946.717,2.36298,0.02073,-0.40586,1.96250,7.84999,0.13122,-0.38819,2.09010,10.71390,3.30000,1,66.00000
1740906946.727,2.37259,0.01626,-0.33830,1.97820,1.57001,0.12744,-0.39922,2.16528,10.98242,3.30000,1,66.00000
1740906946.737,2.38292,0.01316,0.10696,2.02530,4.70999,0.13149,-0.35466,2.23815,11.17632,3.30000,1,66.00000
1740906946.749,2.39454,0.02096,0.07446,2.07240,4.71001,0.13456,-0.31370,2.30880,11.32825,3.30000,1,66.00000
1740906946.758,2.40416,0.02440,-0.28982,2.11950,4.71001,0.13086,-0.31592,2.37772,11.46605,3.30000,1,66.00000
1740906946.769,2.41469,0.02343,-0.64311,2.11950,0.00000,0.12089,-0.35226,2.43726,11.51736,3.30000,1,66.00000
1740906946.780,2.42596,0.02818,-0.53279,2.18230,6.27999,0.11329,-0.37651,2.49829,11.58034,3.30000,1,66.00000
1740906946.790,2.43572,0.02915,-0.50777,2.24510,6.27999,0.10640,-0.39701,2.56003,11.63915,3.30000,1,66.00000
1740906946.800,2.44602,0.03334,-0.86024,2.30790,6.28002,0.09361,-0.45808,2.62289,11.71841,3.30000,1,66.00000
1740906946.812,2.45754,0.03346,-1.25060,2.37070,6.27999,0.07461,-0.56129,2.68686,11.81622,3.30000,1,66.00000
1740906946.822,2.46752,0.02829,-1.47045,2.41780,4.71001,0.05270,-0.68195,2.74906,11.89250,3.12720,1,62.00000
1740906946.833,2.47843,0.02001,-1.13268,2.43350,1.56999,0.03777,-0.75098,2.80381,11.86931,2.32196,1,46.00000
1740906946.844,2.48946,0.01383,-1.44143,2.49630,6.27999,0.01798,-0.84743,2.86027,11.82781,1.22508,1,24.00000
1740906946.855,2.50087,0.00949,-1.81702,2.54340,4.71001,-0.00800,-0.94306,2.91400,11.50047,-0.50599,2,10.00000
1740906946.865,2.51114,0.00080,-1.50646,2.63760,9.42001,-0.02820,-0.95405,2.96959,10.83830,-1.42674,2,28.00000
1740906946.875,2.52084,-0.00175,-1.28008,2.68470,4.70998,-0.04524,-0.86264,3.01503,9.55355,-1.97882,2,39.00000
1740906946.886,2.53141,-0.01412,-1.18442,2.77890,9.42001,-0.06157,-0.74843,3.05662,8.10307,-2.45920,2,49.00000
1740906946.897,2.54318,-0.02115,-1.32007,2.87310,9.41999,-0.08110,-0.65881,3.09392,6.64102,-3.16404,2,63.00000
1740906946.907,2.55282,-0.02929,-1.21957,2.88880,1.57001,-0.09954,-0.55923,3.11436,5.06106,-3.30000,2,66.00000
1740906946.917,2.56330,-0.03543,-0.98688,2.96730,7.85000,-0.11467,-0.43632,3.13028,3.42390,-3.30000,2,66.00000
1740906946.928,2.57398,-0.04195,-0.83142,3.01440,4.70998,-0.12769,-0.32358,3.13696,1.88564,-3.30000,2,66.00000
1740906946.939,2.58451,-0.04786,-0.61054,3.07720,6.27999,-0.13730,-0.22089,3.13965,0.52899,-3.30000,2,66.00000
1740906946.950,2.59572,-0.05838,-0.34953,3.07720,0.00000,-0.14289,-0.11245,3.12989,-0.76064,-3.30000,2,66.00000
1740906946.959,2.60531,-0.06276,1.96822,3.07720,0.00000,-0.10849,0.24136,3.10795,-2.09056,-2.83543,2,56.00000
1740906946.970,2.61606,-0.04801,1.23509,3.06150,-1.56996,-0.08977,0.46832,3.07748,-3.25562,-1.57691,2,31.00000
1740906946.981,2.62728,-0.04103,0.84940,3.04580,-1.57001,-0.07924,0.59599,3.04132,-4.11073,-0.94468,2,18.00000
1740906946.991,2.63684,-0.03718,0.79285,3.03010,-1.57001,-0.06976,0.63520,3.00341,-4.40748,-0.57213,2,11.00000
1740906947.002,2.64817,-0.03549,0.98199,2.99870,-3.14002,-0.05689,0.66175,2.96459,-4.45974,0.27430,1,5.00000
1740906947.013,2.65886,-0.03022,0.82277,2.99870,0.00000,-0.04680,0.64808,2.93241,-4.30382,0.57483,1,11.00000
1740906947.023,2.66865,-0.02654,0.63191,2.98300,-1.56996,-0.03945,0.57629,2.90529,-3.82368,0.62609,1,12.00000
1740906947.034,2.68017,-0.02184,0.57846,2.96730,-1.57001,-0.03238,0.49776,2.88421,-3.25659,0.66850,1,13.00000
1740906947.044,2.68976,-0.02043,0.38478,2.96730,0.00000,-0.02818,0.40819,2.87137,-2.67430,0.57403,1,11.00000
1740906947.055,2.70087,-0.01989,0.71729,2.96730,0.00000,-0.01754,0.37143,2.86466,-2.13142,0.92424,1,18.00000
1740906947.066,2.71178,-0.01742,0.73799,2.95160,-1.57001,-0.00652,0.35554,2.86059,-1.68428,1.35338,1,27.00000
1740906947.076,2.72157,-0.01556,0.69758,2.95160,0.00000,0.00397,0.32629,2.86151,-1.13192,1.74028,1,34.00000
1740906947.088,2.73376,-0.01299,0.68854,2.95160,0.00000,0.01464,0.28680,2.86739,-0.46697,2.12468,1,42.00000
1740906947.098,2.74342,-0.01054,0.77261,2.95160,0.00000,0.02714,0.25268,2.87817,0.27387,2.62079,1,52.00000
1740906947.107,2.75329,-0.00861,0.72042,2.95160,0.00000,0.03900,0.20904,2.89394,1.08711,3.07757,1,61.00000
1740906947.118,2.76416,-0.00464,0.74841,2.95160,0.00000,0.05178,0.16186,2.91457,1.99631,3.30000,1,66.00000
1740906947.129,2.77477,-0.00082,0.73140,2.95160,0.00000,0.06464,0.10969,2.94010,2.97665,3.30000,1,66.00000
1740906947.139,2.78511,0.00261,0.76200,2.95160,0.00000,0.07829,0.07117,2.96995,3.92753,3.30000,1,66.00000
1740906947.150,2.79625,0.00794,0.75631,2.95160,0.00000,0.09183,0.05176,3.00298,4.76744,3.30000,1,66.00000
1740906947.160,2.80580,0.01716,0.26831,2.98300,3.14002,0.09674,-0.01154,3.04365,5.58262,3.30000,1,66.00000
1740906947.170,2.81615,0.02031,-1.16555,3.04580,6.27999,0.07691,-0.22978,3.09665,6.46624,3.30000,1,66.00000
1740906947.182,2.82755,0.01147,-0.58571,3.09290,4.70998,0.06897,-0.35270,3.15462,7.22453,3.30000,1,66.00000
1740906947.191,2.83725,0.00703,0.19190,3.14000,4.71001,0.07555,-0.36539,3.21582,7.85601,3.30000,1,66.00000
1740906947.202,2.84754,0.01397,-0.19510,3.18710,4.71001,0.07531,-0.41295,3.28057,8.44773,3.30000,1,66.00000
1740906947.213,2.85916,0.01282,-1.38252,3.24990,6.27999,0.05454,-0.58972,3.35167,9.07481,2.64685,1,52.00000
1740906947.224,2.86934,0.00538,-1.24780,3.28130,3.14000,0.03754,-0.72749,3.42103,9.58061,1.63824,1,32.00000
1740906947.235,2.88103,-0.00099,-0.59889,3.34410,6.27999,0.03260,-0.74317,3.49183,9.76306,1.48243,1,29.00000
1740906947.245,2.89069,0.00026,-0.71313,3.35980,1.57001,0.02504,-0.71504,3.55386,9.48734,1.28942,1,25.00000
1740906947.255,2.90035,-0.00018,-0.93826,3.40690,4.70998,0.01330,-0.71383,3.61191,9.18372,0.82426,1,16.00000
1740906947.265,2.91108,-0.00688,-0.94608,3.45400,4.71003,0.00140,-0.71013,3.66558,8.82058,0.34371,1,6.00000
1740906947.277,2.92322,-0.01430,-0.72870,3.50110,4.70998,-0.00691,-0.66546,3.71431,8.29332,-0.22597,2,4.00000
1740906947.286,2.93144,-0.01339,-0.59048,3.56390,6.28002,-0.01328,-0.59518,3.76023,7.64606,-0.31440,2,6.00000
1740906947.296,2.94222,-0.01749,-0.95965,3.61100,4.70998,-0.02691,-0.55596,3.80067,6.86424,-0.83081,2,16.00000
1740906947.307,2.95301,-0.02223,-0.86247,3.65810,4.70998,-0.03894,-0.51754,3.83554,6.11373,-1.29073,2,25.00000
1740906947.318,2.96387,-0.02539,-0.77224,3.70520,4.71003,-0.04980,-0.45929,3.86532,5.24268,-1.66216,2,33.00000
1740906947.329,2.97458,-0.02962,-0.93399,3.75230,4.70998,-0.06402,-0.41698,3.89028,4.30469,-2.24092,2,44.00000
1740906947.340,2.98591,-0.03477,-0.74187,3.78370,3.14002,-0.07517,-0.35183,3.90763,3.29469,-2.64019,2,52.00000
1740906947.350,2.99556,-0.03946,-0.78267,3.81510,3.14000,-0.08768,-0.28449,3.91818,2.17271,-3.11288,2,62.00000
1740906947.360,3.00621,-0.04423,-0.61424,3.83080,1.56999,-0.09774,-0.19957,3.91947,0.98312,-3.30000,2,66.00000
1740906947.372,3.01749,-0.04991,-0.44919,3.84650,1.57001,-0.10564,-0.09708,3.91244,-0.27874,-3.30000,2,66.00000
1740906947.381,3.02709,-0.05308,-0.28522,3.84650,0.00000,-0.11132,0.00820,3.89566,-1.51633,-3.30000,2,66.00000
1740906947.392,3.03738,-0.05525,-0.13107,3.84650,0.00000,-0.11486,0.10529,3.87127,-2.64551,-3.30000,2,66.00000
1740906947.403,3.04900,-0.05741,-0.41991,3.84650,0.00000,-0.12399,0.14418,3.84194,-3.63610,-3.30000,2,66.00000
1740906947.413,3.05868,-0.06285,0.46665,3.84650,0.00000,-0.11763,0.26845,3.80777,-4.57290,-3.30000,2,66.00000
1740906947.423,3.06915,-0.06451,1.69755,3.78370,-6.27999,-0.09067,0.52106,3.75928,-5.57165,-2.14220,2,42.00000
1740906947.435,3.08071,-0.05343,1.24952,3.73660,-4.71003,-0.07363,0.69158,3.70406,-6.45024,-1.10829,2,22.00000
1740906947.445,3.09066,-0.04532,0.92404,3.70520,-3.13997,-0.06279,0.74328,3.64790,-6.77717,-0.64514,2,12.00000
1740906947.456,3.10229,-0.04127,0.63262,3.67380,-3.14002,-0.05675,0.70314,3.59484,-6.65028,-0.61291,2,12.00000
1740906947.466,3.11216,-0.03790,0.35386,3.64240,-3.13997,-0.05500,0.61381,3.54710,-6.32120,-0.87927,2,17.00000
1740906947.478,3.12422,-0.03608,0.79718,3.59530,-4.71003,-0.04483,0.58934,3.50123,-6.04384,-0.58517,2,11.00000
1740906947.488,3.13402,-0.03264,0.53336,3.54820,-4.70998,-0.03941,0.55574,3.45737,-5.87159,-0.52236,2,10.00000
1740906947.498,3.14350,-0.03089,0.75544,3.51680,-3.14000,-0.02970,0.53950,3.41706,-5.60180,-0.20470,2,4.00000
1740906947.509,3.15473,-0.02849,0.72820,3.46970,-4.71001,-0.02045,0.52559,3.37782,-5.34294,0.44618,1,8.00000
1740906947.519,3.16496,-0.02510,0.58002,3.45400,-1.56999,-0.01356,0.48279,3.34530,-4.94036,0.59616,1,11.00000
1740906947.529,3.17495,-0.02226,0.68431,3.42260,-3.14002,-0.00418,0.43174,3.31677,-4.34315,0.85559,1,17.00000
1740906947.541,3.18691,-0.01942,0.46358,3.39120,-3.13997,0.00165,0.36198,3.29312,-3.72835,0.92010,1,18.00000
1740906947.551,3.19693,-0.01671,0.57405,3.37550,-1.57001,0.01002,0.30678,3.27600,-3.06145,1.15440,1,23.00000
1740906947.562,3.20823,-0.01337,0.33995,3.34410,-3.14002,0.01455,0.23774,3.26229,-2.43154,1.18880,1,23.00000
1740906947.572,3.21818,-0.01086,0.31251,3.34410,0.00000,0.01920,0.16691,3.25646,-1.73838,1.24201,1,24.00000
1740906947.584,3.23012,-0.00778,0.33096,3.32840,-1.57001,0.02460,0.11382,3.25450,-1.10674,1.38311,1,27.00000
1740906947.594,3.23977,-0.00376,0.16491,3.31270,-1.56996,0.02739,0.05334,3.25584,-0.51205,1.39359,1,27.00000
1740906947.604,3.25007,-0.00160,-0.02122,3.29700,-1.57001,0.02735,-0.02133,3.25983,0.07776,1.24527,1,24.00000
1740906947.616,3.26187,-0.00158,-0.07483,3.29700,0.00000,0.02686,-0.08926,3.26820,0.62713,1.10163,1,22.00000
1740906947.626,3.27196,-0.00180,-0.02896,3.29700,0.00000,0.02752,-0.13137,3.27939,1.06452,1.07864,1,21.00000
1740906947.636,3.28183,-0.00169,-0.14120,3.28130,-1.57001,0.02632,-0.16804,3.28977,1.38380,0.98108,1,19.00000
1740906947.647,3.29252,-0.00243,-0.20521,3.28130,0.00000,0.02421,-0.20422,3.30138,1.66540,0.84377,1,16.00000
1740906947.658,3.30375,-0.00446,-0.15396,3.28130,0.00000,0.02317,-0.22283,3.31326,1.87099,0.79743,1,15.00000
1740906947.668,3.31349,-0.00580,-0.14066,3.28130,0.00000,0.02235,-0.22868,3.32476,1.99466,0.79055,1,15.00000
1740906947.679,3.32527,-0.00726,-0.16317,3.28130,0.00000,0.02112,-0.23257,3.33549,2.07928,0.76572,1,15.00000
1740906947.689,3.33484,-0.00887,-0.12187,3.28130,0.00000,0.02062,-0.22972,3.34522,2.13906,0.78703,1,15.00000
1740906947.700,3.34575,-0.01026,-0.05870,3.28130,0.00000,0.02115,-0.21752,3.35383,2.16935,0.87538,1,17.00000
1740906947.711,3.35667,-0.01125,-0.04549,3.28130,0.00000,0.02180,-0.20516,3.36142,2.19429,0.96611,1,19.00000
1740906947.722,3.36743,-0.01218,-0.01153,3.28130,0.00000,0.02297,-0.19359,3.36817,2.23870,1.07653,1,21.00000
1740906947.733,3.37864,-0.01276,-0.00986,3.28130,0.00000,0.02412,-0.18633,3.37441,2.30509,1.17288,1,23.00000
1740906947.743,3.38871,-0.01343,0.01249,3.28130,0.00000,0.02564,-0.18129,3.38038,2.39807,1.27980,1,25.00000
1740906947.753,3.39841,-0.01370,0.03408,3.28130,0.00000,0.02752,-0.17724,3.38632,2.51071,1.40033,1,28.00000
1740906947.763,3.40864,-0.01395,0.04436,3.28130,0.00000,0.02957,-0.17564,3.39243,2.64612,1.52269,1,30.00000
1740906947.775,3.42056,-0.01408,0.03978,3.28130,0.00000,0.03156,-0.17833,3.39891,2.80821,1.63192,1,32.00000
1740906947.784,3.42975,-0.01420,0.07103,3.28130,0.00000,0.03415,-0.18047,3.40586,2.99262,1.77065,1,35.00000
1740906947.795,3.44041,-0.01405,0.07565,3.28130,0.00000,0.03684,-0.18415,3.41340,3.19403,1.91140,1,38.00000
1740906947.807,3.45268,-0.01361,0.06610,3.28130,0.00000,0.03941,-0.19208,3.42166,3.42207,2.03782,1,40.00000
1740906947.816,3.46198,-0.01333,0.07509,3.28130,0.00000,0.04223,-0.20142,3.43070,3.67316,2.17338,1,43.00000
1740906947.826,3.47198,-0.01313,0.08294,3.28130,0.00000,0.04527,-0.21111,3.44059,3.93936,2.31953,1,46.00000
1740906947.837,3.48266,-0.01294,0.09766,3.28130,0.00000,0.04863,-0.22049,3.45130,4.22134,2.48361,1,49.00000
1740906947.848,3.49393,-0.01259,0.09327,3.28130,0.00000,0.05201,-0.23204,3.46290,4.52201,2.64412,1,52.00000
1740906947.858,3.50345,-0.01232,0.09702,3.28130,0.00000,0.05554,-0.24518,3.47542,4.84481,2.81026,1,56.00000
1740906947.868,3.51361,-0.01183,0.06829,3.28130,0.00000,0.05869,-0.26306,3.48892,5.18770,2.94848,1,58.00000
1740906947.878,3.52429,-0.01203,0.08912,3.28130,0.00000,0.06233,-0.27947,3.50336,5.54651,3.11556,1,62.00000
1740906947.890,3.53561,-0.01178,0.10490,3.28130,0.00000,0.06637,-0.29343,3.51869,5.90904,3.30000,1,66.00000
1740906947.899,3.54478,-0.01149,0.13316,3.28130,0.00000,0.07099,-0.30494,3.53484,6.28372,3.30000,1,66.00000
1740906947.909,3.55515,-0.01044,0.17082,3.29700,1.57001,0.07639,-0.31542,3.55437,6.69885,3.30000,1,66.00000
1740906947.920,3.56546,-0.00200,-0.24205,3.34410,4.70998,0.07462,-0.37067,3.58241,7.15369,3.30000,1,66.00000
1740906947.931,3.57725,-0.00360,-1.71197,3.39120,4.71003,0.04751,-0.59018,3.61906,7.69386,1.93914,1,38.00000
1740906947.941,3.58697,-0.01366,-1.35227,3.43830,4.70998,0.02860,-0.74732,3.66086,8.17477,0.76423,1,15.00000
1740906947.953,3.59899,-0.02206,-0.48951,3.50110,6.27999,0.02521,-0.72296,3.70648,8.08963,0.75138,1,15.00000
1740906947.963,3.60899,-0.02540,-0.68931,3.53250,3.14000,0.01733,-0.66718,3.74746,7.56878,0.59130,1,11.00000
1740906947.976,3.62175,-0.02827,-0.98959,3.59530,6.27999,0.00393,-0.66257,3.78838,7.14294,-0.29565,2,5.00000
1740906947.984,3.63006,-0.03237,-0.55104,3.64240,4.71003,-0.00172,-0.60734,3.82573,6.66599,-0.37346,2,7.00000
1740906947.995,3.64077,-0.03609,-0.81572,3.67380,3.13997,-0.01295,-0.55136,3.85725,5.90901,-0.72495,2,14.00000
1740906948.007,3.65239,-0.03968,-0.39615,3.70520,3.14002,-0.01710,-0.45924,3.88197,5.15615,-0.67866,2,13.00000
1740906948.016,3.66230,-0.04229,-0.67158,3.73660,3.13997,-0.02688,-0.40151,3.90158,4.36270,-0.99133,2,19.00000
1740906948.028,3.67341,-0.04693,-0.38355,3.76800,3.14002,-0.03182,-0.33017,3.91626,3.64493,-1.05928,2,21.00000
1740906948.038,3.68369,-0.04982,-0.37943,3.78370,1.57001,-0.03731,-0.25885,3.92470,2.86656,-1.16754,2,23.00000
1740906948.048,3.69368,-0.05103,-0.37423,3.81510,3.14000,-0.04310,-0.20288,3.93046,2.15860,-1.33462,2,26.00000
1740906948.060,3.70573,-0.05365,-0.41149,3.83080,1.56999,-0.04988,-0.16087,3.93175,1.47720,-1.59149,2,31.00000
1740906948.070,3.71557,-0.05650,-0.31575,3.84650,1.57001,-0.05524,-0.11374,3.92936,0.79972,-1.77818,2,35.00000
1740906948.081,3.72714,-0.05858,-0.20545,3.86220,1.56999,-0.05904,-0.05574,3.92371,0.09671,-1.87283,2,37.00000
1740906948.091,3.73675,-0.05974,-0.20080,3.86220,0.00000,-0.06319,-0.00211,3.91281,-0.61719,-2.00419,2,40.00000
1740906948.103,3.74868,-0.06106,-0.27609,3.86220,0.00000,-0.06898,0.03260,3.89780,-1.29106,-2.26487,2,45.00000
1740906948.112,3.75823,-0.06311,-0.19671,3.87790,1.57001,-0.07354,0.06819,3.88188,-1.92288,-2.46759,2,49.00000
1740906948.123,3.76920,-0.06456,-0.12516,3.87790,0.00000,-0.07714,0.11305,3.86260,-2.59078,-2.60877,2,52.00000
1740906948.134,3.77974,-0.06536,-0.12741,3.87790,0.00000,-0.08110,0.15380,3.84057,-3.25659,-2.78086,2,55.00000
1740906948.145,3.79050,-0.06620,-0.10041,3.87790,0.00000,-0.08484,0.19102,3.81627,-3.89665,-2.95370,2,59.00000
1740906948.156,3.80199,-0.06668,-0.09926,3.87790,0.00000,-0.08878,0.22375,3.79023,-4.51985,-3.14920,2,62.00000
1740906948.166,3.81153,-0.06714,-0.15727,3.87790,0.00000,-0.09394,0.24554,3.76293,-5.12184,-3.30000,2,66.00000
1740906948.176,3.82182,-0.06753,-0.19263,3.87790,0.00000,-0.09984,0.26112,3.73466,-5.71286,-3.30000,2,66.00000
1740906948.187,3.83308,-0.06981,-0.36832,3.86220,-1.57001,-0.10887,0.25405,3.70334,-6.29149,-3.30000,2,66.00000
1740906948.197,3.84263,-0.07546,0.27418,3.83080,-3.14000,-0.10645,0.31554,3.66617,-6.87455,-3.30000,2,66.00000
1740906948.207,3.85309,-0.07711,0.42380,3.76800,-6.27999,-0.10189,0.38621,3.61986,-7.46334,-3.30000,2,66.00000
1740906948.219,3.86461,-0.07294,1.39054,3.72090,-4.70998,-0.08088,0.55815,3.56756,-8.06619,-2.60042,2,52.00000
1740906948.228,3.87413,-0.06524,0.81903,3.67380,-4.71003,-0.07133,0.64452,3.51220,-8.57354,-2.07395,2,41.00000
1740906948.239,3.88499,-0.06196,0.97555,3.61100,-6.27999,-0.05925,0.70499,3.45231,-8.80868,-1.49567,2,29.00000
1740906948.250,3.89596,-0.05745,0.91919,3.56390,-4.70998,-0.04833,0.72657,3.39358,-8.80786,-1.05633,2,21.00000
1740906948.262,3.90789,-0.05428,0.67770,3.53250,-3.14002,-0.04147,0.69001,3.34041,-8.54105,-0.92905,2,18.00000
1740906948.272,3.91755,-0.05096,0.70105,3.48540,-4.70998,-0.03370,0.64375,3.29069,-8.13521,-0.76916,2,15.00000
1740906948.284,3.92956,-0.04817,0.51717,3.42260,-6.28002,-0.02886,0.58284,3.24248,-7.72561,-0.77047,2,15.00000
1740906948.293,3.93933,-0.04630,0.61566,3.39120,-3.13997,-0.02180,0.53550,3.20054,-7.26803,-0.61774,2,12.00000
1740906948.304,3.95021,-0.04380,0.86442,3.34410,-4.71003,-0.01014,0.53029,3.16091,-6.87632,0.19954,1,3.00000
1740906948.316,3.96136,-0.03945,0.53232,3.29700,-4.70998,-0.00435,0.48721,3.12404,-6.44690,0.32388,1,6.00000
1740906948.325,3.97113,-0.03706,0.66096,3.26560,-3.14002,0.00450,0.42901,3.09263,-5.75029,0.56817,1,11.00000
1740906948.337,3.98319,-0.03307,0.55609,3.23420,-3.13997,0.01187,0.36831,3.06714,-5.05716,0.75364,1,15.00000
1740906948.347,3.99280,-0.03047,0.57572,3.18710,-4.71001,0.02002,0.31584,3.04407,-4.36335,1.00414,1,20.00000
1740906948.359,4.00466,-0.02759,0.40068,3.15570,-3.14002,0.02544,0.24876,3.02603,-3.65090,1.10583,1,22.00000
1740906948.369,4.01461,-0.02577,0.52299,3.12430,-3.13997,0.03352,0.20068,3.01186,-2.92865,1.38721,1,27.00000
1740906948.381,4.02691,-0.02316,0.52984,3.10860,-1.57001,0.04198,0.16260,3.00360,-2.22379,1.72347,1,34.00000
1740906948.391,4.03672,-0.02017,0.49601,3.07720,-3.14002,0.05012,0.12264,2.99778,-1.50259,2.04685,1,40.00000
1740906948.401,4.04643,-0.01674,0.32375,3.06150,-1.56996,0.05560,0.05995,2.99722,-0.71086,2.20266,1,44.00000
1740906948.412,4.05792,-0.01453,0.23054,3.04580,-1.57001,0.05996,-0.01223,3.00133,0.12399,2.29389,1,45.00000
1740906948.422,4.06793,-0.01241,0.17321,3.03010,-1.57001,0.06379,-0.08003,3.00944,0.92884,2.37961,1,47.00000
1740906948.433,4.07864,-0.01014,0.12257,3.01440,-1.57001,0.06715,-0.14011,3.02061,1.67717,2.46750,1,49.00000
1740906948.444,4.08991,-0.00830,-0.04742,3.01440,0.00000,0.06789,-0.20935,3.03666,2.40019,2.42073,1,48.00000
1740906948.454,4.09955,-0.00781,-0.10127,3.01440,0.00000,0.06816,-0.27333,3.05628,3.08180,2.36988,1,47.00000
1740906948.464,4.11023,-0.00787,-0.18028,2.99870,-1.57001,0.06735,-0.32748,3.07586,3.64895,2.29129,1,45.00000
